spelling	phoneme	word_s	word_p	word_tr
a	a	mano	mano	hand
e	e	stesso	stesso	same
e	ɛ	testa	tɛsta	head
o	o	voce	votʃe	voice
o	ɔ	cuore	kwɔre	heart
i	i	vita	vita	life
i	j	piano	pjano	flat
u	u	sicura	sikura	safe
u	w	questo	kwesto	this
