spelling	phoneme_list
a	æ, eɪ, ɑː, ɒ, ə, ɪ, ɔː, Ø, ɛ
ar	ɑː, ɔː
ai	eɪ, aɪ, ɛ, eɪ ɪ, æ, ɪ, ə
arV	ɛə, æ, ɑː
aa	ɑː
ah	ɑː
au	ɔː, ɒ, ɑː
ae	iː, ɛ, eɪ
aw	ɔː
ay	eɪ, ɛ
aer	ɛə, ə
air	ɛə
ao	aʊ, eɪɒ, ɔː
e	iː, ɛ, ə, Ø, iː, eɪ, ɪ
er	ɜː, ɛ, ɑː
erV	ɪə, ɛə, ɛ, ɜː
ea	iː, ɛ, eɪ, ə, ɪə, iːeɪ, ɪ, iːæ
earC	ɜː, ɑː
ear	ɪə, ɛə, iːə, ɜː
eau	oʊ, juː, ɒ, ə
ee	iː, eɪ
eer	ɪə
ei	eɪ, ɪ, ə, iː, aɪ
cei	iː
eir	ɛə, ɪə
ey	eɪ, ɪ, ə, iː, aɪ
eo	iːɒ, iːoʊ, iːə, ɛ, iː, ə
eu	juː, uː, oʊ
ew	juː, uː, oʊ
eur	jʊə, ɜː, ju, jə, ə
