spelling	phoneme	word_s	word_p	word_tr
a	a	czas	t͡ʂas	time
e	ɛ	daleko	dalɛkɔ	far
o	ɔ	kot	kɔt	cat
ę	ɛ̃	język	jɛ̃zɨk	language
ą	ɔ̃	wąż	vɔ̃ʂ	snake
y	ɨ	mysz	mɨʂ	mouse
u	u	duży	duʐɨ
ó	u	pół	puw	half
i	i	ile	ilɛ	how much
i	j	pies	pjɛs	dog
j	j	presja	prɛsja	pressure
