spelling	phoneme	word_s	word_p	word_tr
a	a	mano	mano	hand
e	e	stesso	stesso	same
e	ɛ	testa	tɛsta	head
i	i	vita	vita	life
o	o	voce	votʃe	voice
o	ɔ	cuore	kwɔre	heart
u	u	sicura	sikura	safe
