spelling	phoneme_list
b	b
ś	ɕ
s(i)	ɕ
d	d
dz	dz
dź	dʑ
dz(i)	dʑ
dż	dʐ
f	f
g	ɡ
g(i)	ɡʲ
k	k
k(i)	kʲ
l	l
m	m
n	n
n	ŋ
ń	ɲ
n(i)	ɲ
p	p
r	r
s	s
sz	ʂ
t	t
ć	tɕ
c(i)	tɕ
c	ts
cz	tʂ
w	v
ł	w
ch	x
h	x
h(i)	xʲ
z	z
ź	ʑ
z(i)	ʑ
ż	ʐ
rz	ʐ
