spelling	phoneme_list
i	ɪ, iː
ie	iː
ih	iː
ieh	iː
y	ʏ, yː
ü	ʏ, yː
üh	yː
u	ʊ, uː
uh	uː
ö	œ, øː
öh	øː
o	ɔ, oː
oh	oː
oo	oː
e	ə, ɛ, e, eː
ä	ɛ, ɛː, eː
äh	ɛː, eː
eh	eː
ee	eː
a	a, aː
ah	aː
aa	aː
au	aʊ
eu	ɔʏ
äu	ɔʏ
ei	aɪ
ai	aɪ
ey	aɪ
ay	aɪ
